ID	M.0182896.NO.UDG	M.0182896.UDG	M.0182896.UDGa	M.0182896.UDGb	M.0182896.UDGc	Pi1845A.id.CGCTAT	Pi1889.id.CTTGTA	Pi1889.id.GGCTAC	Pi1889.id.TAGCTT
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacteraceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.92557	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	0.0	0.0	0.0	0.0	0.0	1.48299	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae	0.0	0.0	0.0	0.0	0.0	1.48299	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacteraceae_unclassified	0.0	0.0	0.0	0.0	0.0	1.48299	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0	0.0	0.0	0.0	0.0	2.84114	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0	0.0	0.0	0.0	0.0	2.84114	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.0	0.0	0.0	0.0	0.0	2.84114	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Candidatus_Zinderia	0.0	0.0	0.0	0.0	0.0	2.84114	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Candidatus_Zinderia|s__Candidatus_Zinderia_unclassified	0.0	0.0	0.0	0.0	0.0	2.84114	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	100.0	100.0	99.90939	99.9716	99.89578	14.31079	84.33874	84.0085	84.21373
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	0.0	0.0	0.0	0.0	0.0077	0.0	0.0	0.0	0.02397
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae	0.0	0.0	0.0	0.0	0.0077	0.0	0.0	0.0	0.02397
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae|g__Thioalkalivibrio	0.0	0.0	0.0	0.0	0.0077	0.0	0.0	0.0	0.02397
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae|g__Thioalkalivibrio|s__Thioalkalivibrio_unclassified	0.0	0.0	0.0	0.0	0.0077	0.0	0.0	0.0	0.02397
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	14.21791	13.76959	16.14682	14.6399	16.95444	4.2322	10.43258	10.15055	10.2167
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	14.21791	13.76959	16.14682	14.6399	16.95444	4.2322	10.43258	10.15055	10.2167
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Candidatus_Carsonella	0.0	0.0	0.0	0.0	0.0	2.13362	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Candidatus_Carsonella|s__Candidatus_Carsonella_ruddii	0.0	0.0	0.0	0.0	0.0	2.13362	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.05956	0.0	0.14384
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.05956	0.0	0.14384
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Erwinia	0.0	0.0	0.0	0.0	0.0	0.0	0.42319	0.39718	0.46413
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Erwinia|s__Erwinia_billingiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00506	0.00561
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Erwinia|s__Erwinia_tasmaniensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00474	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Erwinia|s__Erwinia_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.42319	0.38739	0.45852
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	0.0	0.0	0.0	0.0	0.0	2.09858	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0.0	0.0	0.0	0.0	0.0	2.09858	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea	14.21791	13.76959	16.14682	14.6399	16.95444	0.0	3.37568	3.15824	3.25615
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea|s__Pantoea_ananatis	0.0	0.0	0.00094	0.00263	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea|s__Pantoea_unclassified	13.464	12.716	14.88738	13.49337	15.67433	0.0	3.13912	2.9336	3.05066
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea|s__Pantoea_vagans	0.75391	1.05359	1.25851	1.1439	1.28011	0.0	0.23656	0.22464	0.20548
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pectobacterium	0.0	0.0	0.0	0.0	0.0	0.0	5.6553	5.61134	5.3445
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pectobacterium|s__Pectobacterium_carotovorum	0.0	0.0	0.0	0.0	0.0	0.0	1.47407	1.40753	1.54711
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pectobacterium|s__Pectobacterium_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	4.18123	4.20381	3.79739
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Rahnella	0.0	0.0	0.0	0.0	0.0	0.0	0.91885	0.98379	1.00808
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Rahnella|s__Rahnella_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.91885	0.98379	1.00808
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	85.78209	86.23041	83.76256	85.3317	82.93364	10.07859	73.90616	73.85794	73.96409
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	0.0	0.0	0.0	0.0	0.0	0.0	3.4417	3.66191	3.81181
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter	0.0	0.0	0.0	0.0	0.0	0.0	3.38248	3.60764	3.761
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	0.0	0.0	0.17158	0.20383	0.1717
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_lwoffii	0.0	0.0	0.0	0.0	0.0	0.0	0.07895	0.09253	0.07815
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	3.13194	3.31128	3.51115
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Psychrobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.05922	0.05427	0.05081
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.05922	0.05427	0.05081
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	85.78209	86.23041	83.76256	85.3317	82.93364	10.07859	70.46446	70.19604	70.15228
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	85.78209	86.23041	83.76256	85.3317	82.93364	10.07859	70.46446	70.19604	70.15228
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fluorescens	2.08192	1.42328	1.31223	1.54634	1.59558	0.0	0.20104	0.37799	0.2438
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_mendocina	0.0	0.0	0.0	0.0	0.0	0.0	0.00335	0.00471	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_putida	0.0	0.0	0.0	0.0	0.0	0.0	0.05879	0.04539	0.0707
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_syringae	7.46662	5.48006	5.96167	5.49172	6.12355	0.0	0.06906	0.14251	0.08718
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_unclassified	76.23356	79.32706	76.48866	78.29363	75.21452	10.07859	70.13223	69.62544	69.7506
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00896
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00896
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00896
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_maltophilia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00896
